STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
12,3804,1,G,3,2004-04-02,2.077,2.054,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2004-04-02,2.077,2.054,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2004-04-02,2.124,2.153,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2004-04-02,2.124,2.153,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2004-04-02,2.059,2.008,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2004-04-02,2.059,2.008,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2004-04-02,2.122,2.036,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2004-04-02,2.122,2.036,JPCTB,,,,,,,,,,,12.0,2004,2130.0,,123804,0,22.7,1692.0,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.113,1.022,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.113,1.022,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,0.973,1.013,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,0.973,1.013,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.044,0.95,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.044,0.95,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.055,0.956,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.055,0.956,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.065,1.037,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3804,1,G,3,2006-07-25,1.065,1.037,JPCTB,,,,,,,,,,,12.0,2006,2400.0,,123804,0,23.0,1232.4,1985-07-01,FL
12,3811,1,G,3,1990-06-15,1.569,1.782,JPCTB,,,,,,,,,,,9.4,1990,,,123811,0,20.8,1057.4,1976-02-01,FL
12,3811,1,G,3,1990-06-15,1.58,1.785,JPCTB,,,,,,,,,,,9.4,1990,,,123811,0,20.8,1057.4,1976-02-01,FL
12,3811,1,G,3,1990-06-15,1.537,1.786,JPCTB,,,,,,,,,,,9.4,1990,,,123811,0,20.8,1057.4,1976-02-01,FL
12,3811,1,G,3,1990-06-15,1.521,1.771,JPCTB,,,,,,,,,,,9.4,1990,,,123811,0,20.8,1057.4,1976-02-01,FL
12,3811,1,G,3,1990-06-15,1.571,1.793,JPCTB,,,,,,,,,,,9.4,1990,,,123811,0,20.8,1057.4,1976-02-01,FL
12,3811,1,G,3,1991-05-16,1.91,1.795,JPCTB,58,56.0,,0.0,14.0,0.0,,,,,9.4,1991,,321.0,123811,0,20.1,2101.1,1976-02-01,FL
12,3811,1,G,3,1991-05-16,1.872,1.78,JPCTB,58,56.0,,0.0,14.0,0.0,,,,,9.4,1991,,321.0,123811,0,20.1,2101.1,1976-02-01,FL
12,3811,1,G,3,1991-05-16,1.905,1.817,JPCTB,58,56.0,,0.0,14.0,0.0,,,,,9.4,1991,,321.0,123811,0,20.1,2101.1,1976-02-01,FL
12,3811,1,G,3,1991-05-16,1.875,1.838,JPCTB,58,56.0,,0.0,14.0,0.0,,,,,9.4,1991,,321.0,123811,0,20.1,2101.1,1976-02-01,FL
12,3811,1,G,3,1991-05-16,1.862,1.826,JPCTB,58,56.0,,0.0,14.0,0.0,,,,,9.4,1991,,321.0,123811,0,20.1,2101.1,1976-02-01,FL
12,3811,1,G,3,1992-06-10,1.712,1.771,JPCTB,58,56.0,,0.0,14.0,0.0,,,,,9.4,1992,,,123811,0,19.3,1566.6,1976-02-01,FL
12,3811,1,G,3,1992-06-10,1.739,1.811,JPCTB,58,56.0,,0.0,14.0,0.0,,,,,9.4,1992,,,123811,0,19.3,1566.6,1976-02-01,FL
