STATE_CODE,SHRP_ID,CONSTRUCTION_NO,VISIT_DATE,GPS_SPS,EXPERIMENT_NO,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR,PERCENT_FINER_02,MEAN_IRI,AGE_SOURCE,AGE_YR,SITE_FACTOR
23,1001,1,1994-08-20,G,1,ACUB,0.0,0.0,62.0,0.0,38.4,0.0,0.1,510.6,13.0,6.0,13.0,8.9,,1994,,,231001,1056.0,5.4,971.6,1972-11-01,ME,,1.9771999999999998,construction_date,21.79876796714579,0.023041297741273097
33,1001,1,1994-10-23,G,1,ACUB,39.0,6.0,197.0,1064.0,0.0,0.0,0.0,516.8,8.0,8.0,8.0,8.4,,1994,,,331001,735.0,7.8,927.8,1981-01-01,NH,,0.6714,construction_date,13.806981519507186,0.01016193839835729
49,1001,1,1994-11-15,G,1,ACUB,1.0,0.0,2363.0,125.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1994,,,491001,88.0,12.9,150.8,1980-11-01,UT,,1.0735,construction_date,14.036960985626283,0.0012492895277207393
33,1001,1,1995-01-06,G,1,ACUB,39.0,6.0,197.0,1064.0,0.0,0.0,0.0,516.8,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.8613,construction_date,14.012320328542094,0.007188320328542094
33,1001,1,1995-02-22,G,1,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.7116,construction_date,14.140999315537304,0.007254332648870637
49,1001,1,1995-02-22,G,1,ACUB,1.0,0.0,1393.0,253.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1995,,,491001,66.0,12.4,144.1,1980-11-01,UT,,1.0909,construction_date,14.30800821355236,0.0009586365503080082
23,1001,1,1995-04-20,G,1,ACUB,0.0,0.0,62.0,0.0,38.4,0.0,0.1,510.6,13.0,6.0,13.0,8.9,,1995,,,231001,884.0,5.7,1047.4,1972-11-01,ME,,1.8578,construction_date,22.46406570841889,0.019880698151950718
49,1001,1,1995-05-05,G,1,ACUB,1.0,0.0,2411.0,263.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1995,,,491001,66.0,12.4,144.1,1980-11-01,UT,,1.0988,construction_date,14.505133470225873,0.0009718439425051335
33,1001,1,1995-05-18,G,1,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.6698999999999999,construction_date,14.373716632443532,0.007373716632443532
16,1001,1,1995-07-11,G,1,ACUB,12.0,0.0,333.0,2103.0,0.0,0.0,,,7.0,5.0,7.0,3.7,,1995,,,161001,177.0,8.4,791.5,1973-08-01,ID,,1.0469,construction_date,21.94113620807666,0.0039055222450376454
33,1001,1,1995-07-24,G,1,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.7282,construction_date,14.557152635181383,0.00746781930184805
30,1001,1,1995-10-11,G,1,ACUB,0.0,0.0,1271.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,14.0,2.8000000000000003,23.0,1995,,,301001,529.0,6.8,633.8,1982-08-01,MT,,1.0816000000000001,construction_date,13.193702943189596,0.006992662559890486
30,1001,1,1996-09-11,G,1,ACUB,0.0,0.0,1157.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,15.0,2.8000000000000003,23.0,1996,210.0,,301001,1169.0,4.9,428.5,1982-08-01,MT,,1.1272,construction_date,14.113620807665983,0.016512936344969198
33,1001,1,1996-11-12,G,1,ACUB,47.0,12.0,1677.0,156.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1996,,,331001,563.0,7.7,1217.2,1981-01-01,NH,,0.7819,construction_date,15.863107460643395,0.008946792607802874
33,1001,1,1997-01-15,G,1,ACUB,47.0,12.0,1677.0,156.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,1.3324,construction_date,16.03832991101985,0.007441785078713211
33,1001,1,1997-02-13,G,1,ACUB,49.0,22.0,1341.0,35.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,1.5407,construction_date,16.11772758384668,0.00747862559890486
33,1001,1,1997-04-08,G,1,ACUB,49.0,22.0,1341.0,35.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,0.8356,construction_date,16.265571526351813,0.007547225188227241
28,1001,1,1997-07-02,G,2,ACTB,56.0,56.0,1441.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,11.0,3.7,16.0,1997,,142.0,281001,34.0,16.3,1589.6,1987-01-01,MS,,1.3778000000000001,construction_date,10.499657768651609,0.00036748802190280635
16,1001,1,1997-07-08,G,1,ACUB,17.0,10.0,468.0,1843.0,0.0,0.0,,,9.0,6.0,9.0,3.7,,1997,220.0,45.0,161001,179.0,9.1,872.8,1973-08-01,ID,,1.6460000000000001,construction_date,23.93429158110883,0.0043081724845995895
33,1001,1,1997-08-20,G,1,ACUB,52.0,21.0,1420.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,1.1101,construction_date,16.632443531827516,0.007717453798767967
